HES4
TNFRSF9
PDPN
LAPTM5
CAP1
GADD45A
DIRAS3
F3
CNN3
C1orf162
CD2
HMGCS2
FCGR1A
CTSK
S100A12
SSR2
CD1C
CD1E
MNDA
FCER1A
SLAMF1
SLAMF7
FCGR3A
CD247
DPT
SELL
RGS16
PRG4
CFHR3
CFHR1
PTPRC
PPP1R12B
CD34
LAMB3
PROX1
SMYD2
CENPF
CAPN8
HADHB
OST4
EPAS1
EPCAM
RTN4
UGP2
ACTG2
VAMP8
GNLY
CD8A
DUSP2
IL1R2
IL1RL1
FHL2
MALL
BCL2L11
IL1B
MARCO
CXCR4
CYTIP
TFPI
COL5A2
CD28
CTLA4
EEF1B2
MLPH
GPC1
PDCD1
GHRL
TIMP4
PPARG
CCR2
TMA7
RHOA
DNASE1L3
FSTL1
CD86
MYLK
GATA2
CPA3
TM4SF18
TM4SF4
SSR3
SEC62
LAMP3
KNG1
SPON2
FGFBP2
PDGFRA
KIT
CXCL6
CXCL2
CXCL9
CXCL10
ANXA3
SNCA
MMRN1
HPGDS
ADH4
BANK1
OSTC
HMGB2
BASP1
IL7R
C7
ESM1
GZMK
GZMA
BTF3
CRHBP
VCAN
MEF2C
CAST
HINT1
SKP1
MZB1
CD14
SLC26A2
PDGFRB
HAVCR2
DUSP1
STC2
BTNL9
SERPINB1
SERPINB9
LY86
DSP
EDN1
CD83
SFTA2
AIF1
CFB
AGER
HLA-DQB2
UQCC2
TREM2
PLA2G7
GSTA1
DST
PRDM1
ESR1
THBS2
TOMM7
HNRNPA2B1
INMT
SFRP4
EGFR
UPK3B
FGL2
SEMA3C
STEAP4
GNG11
PCOLCE
CAV1
MET
CALU
MEST
PTN
RARRES2
BMX
SRPX
RBM3
FOXP3
VSIG4
AR
GPC3
FHL1
SSR4
FLNA
ANGPT2
ASAH1
LPL
PEBP4
STC1
ADAM28
EIF4EBP1
SOX17
GEM
PABPC1
CTHRC1
MYC
EEF1D
CD274
AQP3
CCL19
MAMDC2
OGN
ASPN
SEC61B
TNC
SH2D3C
FCN2
FCN1
EGFL7
PTGDS
NPDC1
LSP1
HPX
LYVE1
DKK3
EHF
SPI1
SERPING1
GLYATL1
MPEG1
MS4A6A
MS4A4A
MS4A1
NDUFC2
BIRC3
NNMT
APOA5
FXYD2
CD3E
CD3D
THY1
HSPA8
VWA5A
KLF6
AKR1C3
IL2RA
MRC1
BAMBI
CDK1
RTKN2
PPA1
PRF1
KCNMA1
PLAC9
MAT1A
MMRN2
SNCG
ACTA2
FAS
COL17A1
MKI67
VWF
CD27
LAG3
CD4
C1R
RBP5
CD163
CLEC4E
MFAP5
KLRB1
CLECL1
CD69
TMEM52B
KLRD1
KLRC1
APOLD1
GPRC5A
YAF2
RAPGEF3
RND1
FKBP11
TMBIM6
KRT7
PFDN5
PPP1R1A
MDM2
THAP2
GLIPR1
NTN4
SLC25A3
IGF1
HSP90B1
TBX3
ALOX5AP
MEDAG
COMMD6
EDNRB
GPR183
MCF2L
RNASE1
GZMB
COCH
FOXA1
CLEC14A
GPX2
ACTN1
NPC2
LTBP2
TCL1A
PLD4
GATM
C15orf48
FBN1
AQP9
CCNB2
MORF4L1
ANPEP
CIB1
ALDH1A3
CCDC78
TNFRSF17
MYH11
TMC5
IGSF6
NUPR1
CD19
AHSP
TAT
PLCG2
DNAAF1
CRISPLD2
IRF8
DPEP1
CLEC10A
EIF4A1
CD68
PMP22
TNFRSF13B
VTN
CCL5
ERBB2
TOP2A
CCR7
RAMP2
HIGD1B
TMEM100
CA4
CD300E
SUMO2
FOXJ1
MYOM1
APCDD1
TCF4
PCNA
CD93
EIF2S2
UBE2C
SNAI1
GNAS
SOX18
FSTL3
PLIN4
CD70
RETN
CNN1
GDF15
LGI4
FXYD5
HAMP
DMKN
CD79A
EMP3
SPIB
NKG7
LILRB2
LILRA5
LILRA4
LILRB4
DERL3
LIF
MYH9
APOBEC3A
FBLN1
ADAMTS1
CLIC6
ERG
