,cell_name,predicted_label
5431,5431,TAMs
5432,5432,Malignant cells
5433,5433,CAFs
5434,5434,Hepatocytes
5435,5435,Malignant cells
5436,5436,CAFs
5437,5437,Hepatocytes
5438,5438,Malignant cells
5439,5439,Malignant cells
5440,5440,Malignant cells
5441,5441,Malignant cells
5442,5442,CAFs
5606,5606,Malignant cells
5607,5607,Malignant cells
5608,5608,Hepatocytes
5609,5609,Hepatocytes
5610,5610,CAFs
5611,5611,Hepatocytes
5612,5612,Malignant cells
5613,5613,Hepatocytes
5614,5614,Hepatocytes
5615,5615,Hepatocytes
5616,5616,Hepatocytes
5617,5617,Hepatocytes
5618,5618,Hepatocytes
5619,5619,Hepatocytes
5620,5620,Malignant cells
5621,5621,Malignant cells
5622,5622,TECs
5623,5623,Hepatocytes
5624,5624,CAFs
5625,5625,TAMs
5626,5626,CAFs
5627,5627,CAFs
5628,5628,CAFs
5629,5629,CAFs
5630,5630,CAFs
5631,5631,CAFs
5632,5632,CAFs
5633,5633,CAFs
5634,5634,CAFs
5635,5635,CAFs
5636,5636,CAFs
5637,5637,Hepatocytes
5638,5638,CAFs
5639,5639,Malignant cells
5640,5640,Hepatocytes
5641,5641,Hepatocytes
5642,5642,Hepatocytes
5643,5643,TAMs
5644,5644,Malignant cells
5645,5645,CAFs
5646,5646,Hepatocytes
5647,5647,Hepatocytes
5648,5648,Hepatocytes
5649,5649,Hepatocytes
5650,5650,Hepatocytes
5651,5651,Malignant cells
5652,5652,CAFs
5653,5653,Malignant cells
5654,5654,TECs
5655,5655,Cholangiocytes
5656,5656,TECs
5657,5657,CAFs
5658,5658,CAFs
5659,5659,CAFs
5660,5660,CAFs
5661,5661,CAFs
5662,5662,CAFs
5663,5663,CAFs
5664,5664,CAFs
5665,5665,CAFs
5666,5666,Malignant cells
5667,5667,Hepatocytes
5668,5668,CAFs
5669,5669,Malignant cells
5670,5670,CAFs
5671,5671,Hepatocytes
5672,5672,Hepatocytes
5673,5673,CAFs
5674,5674,TECs
5675,5675,TECs
5676,5676,TECs
5677,5677,Plasma cells
5678,5678,T cells
5679,5679,TECs
5680,5680,CAFs
5681,5681,Plasma cells
5682,5682,CAFs
5683,5683,CAFs
5684,5684,CAFs
5685,5685,CAFs
5686,5686,CAFs
5687,5687,CAFs
5688,5688,CAFs
5689,5689,CAFs
5690,5690,TECs
5691,5691,CAFs
5692,5692,TECs
5693,5693,CAFs
5703,5703,CAFs
5706,5706,CAFs
5707,5707,CAFs
5708,5708,CAFs
5709,5709,CAFs
5710,5710,CAFs
5711,5711,CAFs
5712,5712,CAFs
5713,5713,CAFs
5714,5714,CAFs
5715,5715,CAFs
5716,5716,CAFs
5717,5717,CAFs
5718,5718,CAFs
5719,5719,CAFs
5720,5720,CAFs
5721,5721,CAFs
5722,5722,CAFs
5723,5723,Plasma cells
5724,5724,Plasma cells
5725,5725,CAFs
5726,5726,Hepatocytes
5727,5727,CAFs
5728,5728,CAFs
5729,5729,CAFs
5730,5730,CAFs
5731,5731,CAFs
5732,5732,TECs
5733,5733,CAFs
5734,5734,TAMs
5735,5735,TECs
5736,5736,TECs
5737,5737,CAFs
5738,5738,TECs
5739,5739,TECs
5740,5740,TECs
5741,5741,CAFs
5742,5742,CAFs
5743,5743,CAFs
5744,5744,CAFs
5745,5745,CAFs
5746,5746,CAFs
5757,5757,CAFs
5760,5760,TAMs
5761,5761,CAFs
5762,5762,CAFs
5763,5763,CAFs
5764,5764,CAFs
5765,5765,Monocytes
5766,5766,CAFs
5767,5767,CAFs
5768,5768,CAFs
5769,5769,CAFs
5770,5770,TAMs
5771,5771,CAFs
5772,5772,CAFs
5773,5773,T cells
5774,5774,Dendritic cells
5775,5775,TAMs
5776,5776,CAFs
5777,5777,Dendritic cells
5778,5778,CAFs
5779,5779,CAFs
5780,5780,CAFs
5781,5781,CAFs
5782,5782,CAFs
5783,5783,T cells
5784,5784,NK cells
5785,5785,CAFs
5786,5786,T cells
5787,5787,CAFs
5788,5788,Monocytes
5789,5789,T cells
5790,5790,CAFs
5791,5791,CAFs
5792,5792,CAFs
